CL-Symbol,Type,golisp2,Kurzbeschreibung
ADJOIN,Kern,N,Add ITEM to LIST unless it is already a member
ADJUST-ARRAY,Kern,N,Adjust ARRAY's dimensions to the given DIMENSIONS and stuff.
ADJUSTABLE-ARRAY-P,Kern,N,Return T if and only if calling ADJUST-ARRAY on ARRAY will return the identical object.
ALLOCATE-INSTANCE,Kern,N,Creates a new uninitialized instance of a class (CLOS).
ALPHA-CHAR-P,Kern,N,"The argument must be a character object. ALPHA-CHAR-P returns T if the argument is an alphabetic character, A-Z or a-z; otherwise NIL."
ALPHANUMERICP,Kern,N,"Given a character-object argument, ALPHANUMERICP returns T if the argument is either numeric or alphabetic."
AND,Macro,J,"Macro: logical AND, short-circuit; last true value or NIL."
APPEND,Kern,J,Construct and return a list by concatenating LISTS.
APPLY,Kern,J,"Apply FUNCTION to a list of arguments produced by evaluating ARGUMENTS in the manner of LIST*. That is, a list is made of the values of all but the last argument, appended to the value of the last arg"
APROPOS,Kern,N,Briefly describe all symbols which contain the specified STRING. If PACKAGE is supplied then only describe symbols present in that package. If EXTERNAL-ONLY then only describe external symbols in the 
APROPOS-LIST,Kern,N,"Like APROPOS, except that it returns a list of the symbols found instead of describing them."
AREF,Kern,N,Return the element of the ARRAY specified by the SUBSCRIPTS.
ARITHMETIC-ERROR,Kern,N,Condition type for arithmetic errors.
ARITHMETIC-ERROR-OPERANDS,Kern,N,Reader: operands of an arithmetic-error condition.
ARITHMETIC-ERROR-OPERATION,Kern,N,Reader: operation of an arithmetic-error condition.
ARRAY,Kern,N,Type: n-dimensional array of any rank.
ARRAY-DIMENSION,Kern,N,Return the length of dimension AXIS-NUMBER of ARRAY.
ARRAY-DIMENSION-LIMIT,Kern,N,the exclusive upper bound on any given dimension of an array
ARRAY-DIMENSIONS,Kern,N,Return a list whose elements are the dimensions of the array
ARRAY-DISPLACEMENT,Kern,N,"Return the values of :DISPLACED-TO and :DISPLACED-INDEX-offset options to MAKE-ARRAY, or NIL and 0 if not a displaced array."
ARRAY-ELEMENT-TYPE,Kern,N,Return the type of the elements of the array
ARRAY-HAS-FILL-POINTER-P,Kern,N,"Return T if the given ARRAY has a fill pointer, or NIL otherwise."
ARRAY-IN-BOUNDS-P,Kern,N,"Return T if the SUBSCRIPTS are in bounds for the ARRAY, NIL otherwise."
ARRAY-RANK,Kern,N,Return the number of dimensions of ARRAY.
ARRAY-RANK-LIMIT,Kern,N,the exclusive upper bound on the rank of an array
ARRAY-ROW-MAJOR-INDEX,Kern,N,Row-major index for given array subscripts.
ARRAY-TOTAL-SIZE,Kern,N,Return the total number of elements in the Array.
ARRAY-TOTAL-SIZE-LIMIT,Kern,N,the exclusive upper bound on the total number of elements in an array
ARRAYP,Kern,N,"Return true if OBJECT is an ARRAY, and NIL otherwise."
ASH,Kern,N,Shifts integer left by count places preserving sign. - count shifts right.
ASIN,Kern,N,Return the arc sine of NUMBER.
ASINH,Kern,N,Return the hyperbolic arc sine of NUMBER.
ASSERT,Macro,N,Signals an error if the value of TEST-FORM is NIL. Returns NIL. Optional DATUM and ARGUMENTS can be used to change the signaled error condition and are interpreted as in (APPLY #'ERROR DATUM ARGUMENTS
ASSOC,Kern,J,Return the cons in ALIST whose car is equal (by a given test or EQL) to the ITEM.
ASSOC-IF,Kern,N,"Return the first cons in ALIST whose CAR satisfies PREDICATE. If KEY is supplied, apply it to the CAR of each cons before testing."
ASSOC-IF-NOT,Kern,N,"Return the first cons in ALIST whose CAR does not satisfy PREDICATE. If KEY is supplied, apply it to the CAR of each cons before testing."
ATAN,Kern,N,Return the arc tangent of Y if X is omitted or Y/X if X is supplied.
ATANH,Kern,N,Return the hyperbolic arc tangent of NUMBER.
ATOM,Kern,J,"Return true if OBJECT is an ATOM, and NIL otherwise."
BASE-CHAR,Kern,N,Type: reduced character type (minimal character set).
BASE-STRING,Kern,N,Type: vector of base-chars.
BIGNUM,Kern,N,Type: integer too large to fit in a fixnum.
BIT,Kern,N,Return the bit from the BIT-ARRAY at the specified SUBSCRIPTS.
BIT-AND,Kern,N,"Perform a bit-wise LOGAND on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted,"
BIT-ANDC1,Kern,N,"Perform a bit-wise LOGANDC1 on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitte"
BIT-ANDC2,Kern,N,"Perform a bit-wise LOGANDC2 on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitte"
BIT-EQV,Kern,N,"Perform a bit-wise LOGEQV on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted,"
BIT-IOR,Kern,N,"Perform a bit-wise LOGIOR on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted,"
BIT-NAND,Kern,N,"Perform a bit-wise LOGNAND on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted"
BIT-NOR,Kern,N,"Perform a bit-wise LOGNOR on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted,"
BIT-NOT,Kern,N,"Performs a bit-wise logical NOT on the elements of BIT-ARRAY, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY is used. If RESULT-BIT-ARRAY is NIL or omitted, a new array i"
BIT-ORC1,Kern,N,"Perform a bit-wise LOGORC1 on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted"
BIT-ORC2,Kern,N,"Perform a bit-wise LOGORC2 on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted"
BIT-VECTOR,Kern,N,Type: vector of bits (0/1).
BIT-VECTOR-P,Kern,N,"Return true if OBJECT is a BIT-VECTOR, and NIL otherwise."
BIT-XOR,Kern,N,"Perform a bit-wise LOGXOR on the elements of BIT-ARRAY-1 and BIT-ARRAY-2, putting the results in RESULT-BIT-ARRAY. If RESULT-BIT-ARRAY is T, BIT-ARRAY-1 is used. If RESULT-BIT-ARRAY is NIL or omitted,"
BLOCK,Kern,J,"BLOCK name form* Evaluate the FORMS as a PROGN. Within the lexical scope of the body, RETURN-FROM can be used to exit the form."
BOOLE,Kern,N,Bit-wise boolean function on two integers. Function chosen by OP: 0 BOOLE-CLR 1 BOOLE-SET 2 BOOLE-1 3 BOOLE-2 4 BOOLE-C1 5 BOOLE-C2 6 BOOLE-AND 7 BOOLE-IOR 8 BOOLE-XOR 9 BOOLE-EQV 10 BOOLE-NAND 11 BOO
BOOLE-1,Kern,N,"Boole function op, makes BOOLE return integer1."
BOOLE-2,Kern,N,"Boole function op, makes BOOLE return integer2."
BOOLE-AND,Kern,N,"Boole function op, makes BOOLE return logand of integer1 and integer2."
BOOLE-ANDC1,Kern,N,"Boole function op, makes BOOLE return logandc1 of integer1 and integer2."
BOOLE-ANDC2,Kern,N,"Boole function op, makes BOOLE return logandc2 of integer1 and integer2."
BOOLE-C1,Kern,N,"Boole function op, makes BOOLE return complement of integer1."
BOOLE-C2,Kern,N,"Boole function op, makes BOOLE return complement of integer2."
BOOLE-CLR,Kern,N,"Boole function op, makes BOOLE return 0."
BOOLE-EQV,Kern,N,"Boole function op, makes BOOLE return logeqv of integer1 and integer2."
BOOLE-IOR,Kern,N,"Boole function op, makes BOOLE return logior of integer1 and integer2."
BOOLE-NAND,Kern,N,"Boole function op, makes BOOLE return log nand of integer1 and integer2."
BOOLE-NOR,Kern,N,"Boole function op, makes BOOLE return lognor of integer1 and integer2."
BOOLE-ORC1,Kern,N,"Boole function op, makes BOOLE return logorc1 of integer1 and integer2."
BOOLE-ORC2,Kern,N,"Boole function op, makes BOOLE return logorc2 of integer1 and integer2."
BOOLE-SET,Kern,N,"Boole function op, makes BOOLE return -1."
BOOLE-XOR,Kern,N,"Boole function op, makes BOOLE return logxor of integer1 and integer2."
BOOLEAN,Kern,N,"Type: the set {T, NIL}."
BOTH-CASE-P,Kern,N,"The argument must be a character object. BOTH-CASE-P returns T if the argument is an alphabetic character and if the character exists in both upper and lower case. For ASCII, this is the same as ALPHA"
BOUNDP,Kern,N,Return non-NIL if SYMBOL is bound to a value.
BREAK,Kern,N,Print a message and invoke the debugger without allowing any possibility of condition handling occurring.
BROADCAST-STREAM,Kern,N,Type: stream that writes to multiple streams at once.
BROADCAST-STREAM-STREAMS,Kern,N,Reader: list of streams a broadcast-stream writes to.
BUILT-IN-CLASS,Kern,N,Type: class of built-in implementation types.
BUTLAST,Kern,N,Copy of a list without the last n elements (default 1).
BYTE,Kern,N,Return a byte specifier which may be used by other byte functions (e.g. LDB).
BYTE-POSITION,Kern,N,Return the position part of the byte specifier bytespec.
BYTE-SIZE,Kern,N,Return the size part of the byte specifier bytespec.
CAAAAR,Kern,N,Return the car of the caaar of a list.
CAAADR,Kern,N,Return the car of the caadr of a list.
CAAAR,Kern,N,Return the 1st object in the caar of a list.
CAADAR,Kern,N,Return the car of the cadar of a list.
CAADDR,Kern,N,Return the car of the caddr of a list.
CAADR,Kern,N,Return the 1st object in the cadr of a list.
CAAR,Kern,J,Return the car of the 1st sublist.
CADAAR,Kern,N,Return the car of the cdaar of a list.
CADADR,Kern,N,Return the car of the cdadr of a list.
CADAR,Kern,N,Return the car of the cdar of a list.
CADDAR,Kern,N,Return the car of the cddar of a list.
CADDDR,Kern,J,Return the car of the cdddr of a list.
CADDR,Kern,J,Return the 1st object in the cddr of a list.
CADR,Kern,J,Return the 2nd object in a list.
CALL-ARGUMENTS-LIMIT,Kern,N,"The exclusive upper bound on the number of arguments which may be passed to a function, including &REST args."
CALL-METHOD,Macro,N,Macro for method combination.
CALL-NEXT-METHOD,Kern,N,Calls the next most specific applicable method (CLOS).
CAR,Kern,J,Return the 1st object in a list.
CASE,Macro,J,CASE Keyform {({(Key*) | Key} Form*)}* Evaluates the Forms in the first clause with a Key EQL to the value of Keyform. If a singleton key is T then the clause is a default clause.
CATCH,Kern,J,"CATCH tag form* Evaluate TAG and instantiate it as a catcher while the body forms are evaluated in an implicit PROGN. If a THROW is done to TAG within the dynamic scope of the body, then control will "
CCASE,Macro,N,CCASE Keyform {({(Key*) | Key} Form*)}* Evaluates the Forms in the first clause with a Key EQL to the value of Keyform. If none of the keys matches then a correctable error is signalled.
CDAAAR,Kern,N,Return the cdr of the caaar of a list.
CDAADR,Kern,N,Return the cdr of the caadr of a list.
CDAAR,Kern,N,Return the cdr of the caar of a list.
CDADAR,Kern,N,Return the cdr of the cadar of a list.
CDADDR,Kern,N,Return the cdr of the caddr of a list.
CDADR,Kern,N,Return the cdr of the cadr of a list.
CDAR,Kern,J,Return the cdr of the 1st sublist.
CDDAAR,Kern,N,Return the cdr of the cdaar of a list.
CDDADR,Kern,N,Return the cdr of the cdadr of a list.
CDDAR,Kern,N,Return the cdr of the cdar of a list.
CDDDAR,Kern,N,Return the cdr of the cddar of a list.
CDDDDR,Kern,N,Return the cdr of the cdddr of a list.
CDDDR,Kern,N,Return the cdr of the cddr of a list.
CDDR,Kern,J,Return all but the 1st two objects of a list.
CDR,Kern,J,Return all but the first object in a list.
CEILING,Kern,N,"Return number/divisor as an integer, rounded toward positive infinity. The second returned value is the remainder."
CELL-ERROR,Kern,N,Condition type for errors with a name/object reference.
CELL-ERROR-NAME,Kern,N,Reader: name of a cell-error condition.
CERROR,Kern,N,Signals a correctable (continuable) error.
CHANGE-CLASS,Kern,N,Changes the class of an instance dynamically.
CHAR,Kern,N,"Given a string and a non-negative integer index less than the length of the string, returns the character object representing the character at that position in the string."
CHAR-CODE,Kern,N,Return the integer code of CHAR.
CHAR-CODE-LIMIT,Kern,N,the upper exclusive bound on values produced by CHAR-CODE
CHAR-DOWNCASE,Kern,N,Return CHAR converted to lower-case if that is possible.
CHAR-EQUAL,Kern,N,Return T if all of the arguments are the same character. Case is ignored.
CHAR-GREATERP,Kern,N,Return T if the arguments are in strictly decreasing alphabetic order. Case is ignored.
CHAR-INT,Kern,N,"Return the integer code of CHAR. (In SBCL this is the same as CHAR-CODE, as there are no character bits or fonts.)"
CHAR-LESSP,Kern,N,Return T if the arguments are in strictly increasing alphabetic order. Case is ignored.
CHAR-NAME,Kern,N,Return the name (a STRING) for a CHARACTER object.
CHAR-NOT-EQUAL,Kern,N,Return T if no two of the arguments are the same character. Case is ignored.
CHAR-NOT-GREATERP,Kern,N,Return T if the arguments are in strictly non-decreasing alphabetic order. Case is ignored.
CHAR-NOT-LESSP,Kern,N,Return T if the arguments are in strictly non-increasing alphabetic order. Case is ignored.
CHAR-UPCASE,Kern,N,Return CHAR converted to upper-case if that is possible. Don't convert lowercase eszet (U+DF).
CHAR/=,Kern,N,Return T if no two of the arguments are the same character.
CHAR<,Kern,N,Return T if the arguments are in strictly increasing alphabetic order.
CHAR<=,Kern,N,Return T if the arguments are in strictly non-decreasing alphabetic order.
CHAR=,Kern,N,Return T if all of the arguments are the same character.
CHAR>,Kern,N,Return T if the arguments are in strictly decreasing alphabetic order.
CHAR>=,Kern,N,Return T if the arguments are in strictly non-increasing alphabetic order.
CHARACTER,Kern,N,"Coerce OBJECT into a CHARACTER if possible. Legal inputs are characters, strings and symbols of length 1."
CHARACTERP,Kern,N,"Return true if OBJECT is a CHARACTER, and NIL otherwise."
CHECK-TYPE,Macro,N,"Signal a restartable error of type TYPE-ERROR if the value of PLACE is not of the specified type. If an error is signalled and the restart is used to return, this can only return if the STORE-VALUE re"
CIS,Kern,N,"Return cos(Theta) + i sin(Theta), i.e. exp(i Theta)."
CLASS,Kern,N,Type: class metaobject.
CLASS-NAME,Kern,N,Reader: name of a class.
CLASS-OF,Kern,N,Returns the class of an object.
CLEAR-INPUT,Kern,N,Clears buffered input from a stream.
CLEAR-OUTPUT,Kern,N,Clears buffered output of a stream (async).
CLOSE,Kern,N,"Close the given STREAM. No more I/O may be performed, but inquiries may still be made. If :ABORT is true, an attempt is made to clean up the side effects of having created the stream."
CLRHASH,Kern,J,This removes all the entries from HASH-TABLE and returns the hash table itself.
CODE-CHAR,Kern,N,Return the character with the code CODE.
COERCE,Kern,N,Coerce the Object to an object of type Output-Type-Spec.
COMPILATION-SPEED,Kern,N,Optimize quality: speed of compilation.
COMPILE,Kern,N,"Produce a compiled function from DEFINITION. If DEFINITION is a lambda-expression, it is coerced to a function. If DEFINITION is an interpreted function, it is compiled. If DEFINITION is already a com"
COMPILE-FILE,Kern,N,"Compile INPUT-FILE, producing a corresponding fasl file and returning its filename. :OUTPUT-FILE The name of the FASL to output. The returned pathname of the output file may differ from the pathname o"
COMPILE-FILE-PATHNAME,Kern,N,Return a pathname describing what file COMPILE-FILE would write to given these arguments.
COMPILED-FUNCTION,Kern,N,Type: compiled function object.
COMPILED-FUNCTION-P,Kern,N,"Return true if OBJECT is a COMPILED-FUNCTION, and NIL otherwise."
COMPILER-MACRO,Kern,N,Declaration/type for compiler-macro definitions.
COMPILER-MACRO-FUNCTION,Kern,N,"If NAME names a compiler-macro in ENV, return the expansion function, else return NIL. Can be set with SETF when ENV is NIL."
COMPLEMENT,Kern,J,Return a new function that returns T whenever FUNCTION returns NIL and NIL whenever FUNCTION returns non-NIL.
COMPLEX,Kern,N,Return a complex number with the specified real and imaginary components.
COMPLEXP,Kern,N,"Return true if OBJECT is a COMPLEX, and NIL otherwise."
COMPUTE-APPLICABLE-METHODS,Kern,N,Sorted list of methods applicable to args.
COMPUTE-RESTARTS,Kern,N,"Return a list of all the currently active restarts ordered from most recently established to less recently established. If CONDITION is specified, then only restarts associated with CONDITION (or with"
CONCATENATE,Kern,N,Return a new sequence of all the argument sequences concatenated together which shares no structure with the original argument sequences of the specified RESULT-TYPE.
CONCATENATED-STREAM,Kern,N,Type: stream reading from several input streams.
CONCATENATED-STREAM-STREAMS,Kern,N,Reader: list of input streams of a concatenated-stream.
COND,Macro,J,Macro: conditional evaluation of test/body clauses.
CONDITION,Kern,N,Type: root of all condition types.
CONJUGATE,Kern,N,"Return the complex conjugate of NUMBER. For non-complex numbers, this is an identity."
CONS,Kern,J,Return a list with SE1 as the CAR and SE2 as the CDR.
CONSP,Kern,N,"Return true if OBJECT is a CONS, and NIL otherwise."
CONSTANTLY,Kern,J,Return a function that always returns VALUE.
CONSTANTP,Kern,N,"True of any FORM that has a constant value: self-evaluating objects, keywords, defined constants, quote forms. Additionally the constant-foldability of some function calls and special forms is recogni"
CONTINUE,Kern,N,"Transfer control to a restart named CONTINUE, or return NIL if none exists."
CONTROL-ERROR,Kern,N,Condition type for control-transfer errors.
COPY-ALIST,Kern,N,Return a new association list which is EQUAL to ALIST.
COPY-LIST,Kern,N,Return a new list which is EQUAL to LIST. LIST may be improper.
COPY-PPRINT-DISPATCH,Kern,N,Copies a pprint-dispatch table.
COPY-READTABLE,Kern,N,"Copies FROM-READTABLE and returns the result. Uses TO-READTABLE as a target for the copy when provided, otherwise a new readtable is created. The FROM-READTABLE defaults to the standard readtable when"
COPY-SEQ,Kern,N,Return a copy of SEQUENCE which is EQUAL to SEQUENCE but not EQ.
COPY-STRUCTURE,Kern,N,Return a copy of STRUCTURE with the same (EQL) slot values.
COPY-SYMBOL,Kern,N,"Make and return a new uninterned symbol with the same print name as SYMBOL. If COPY-PROPS is false, the new symbol is neither bound nor fbound and has no properties, else it has a copy of SYMBOL's fun"
COPY-TREE,Kern,N,Recursively copy trees of conses.
COS,Kern,N,Return the cosine of NUMBER.
COSH,Kern,N,Return the hyperbolic cosine of NUMBER.
COUNT,Kern,N,"Return the number of elements in SEQUENCE satisfying a test with ITEM, which defaults to EQL."
COUNT-IF,Kern,N,Return the number of elements in SEQUENCE satisfying PRED(el).
COUNT-IF-NOT,Kern,N,Return the number of elements in SEQUENCE not satisfying TEST(el).
CTYPECASE,Macro,N,CTYPECASE Keyform {(Type Form*)}* Evaluates the Forms in the first clause for which TYPEP of Keyform and Type is true. If no form is satisfied then a correctable error is signalled.
DEBUG,Kern,N,Optimize quality: amount of debugging info.
DECF,Macro,N,"The first argument is some location holding a number. This number is decremented by the second argument, DELTA, which defaults to 1."
DECLAIM,Macro,N,DECLAIM Declaration* Do a declaration or declarations for the global environment.
DECLARATION,Kern,N,Declaration: registers a non-standard declaration name.
DECLARE,Kern,J,Special form: declaration specifier inside a form.
DECODE-FLOAT,Kern,N,Return three values: 1) a floating-point number representing the significand. This is always between 0.5 (inclusive) and 1.0 (exclusive). 2) an integer representing the exponent. 3) -1.0 or 1.0 (i.e. 
DECODE-UNIVERSAL-TIME,Kern,N,"Converts a universal-time to decoded time format returning the following nine values: second, minute, hour, date, month, year, day of week (0 = Monday), T (daylight savings time) or NIL (standard time"
DEFCLASS,Macro,N,Macro: defines a class (CLOS).
DEFCONSTANT,Macro,N,"Define a global constant, saying that the value is constant and may be compiled into code. If the variable already has a value, and this is not EQL to the new value, the code is not portable (undefine"
DEFGENERIC,Macro,N,Macro: defines a generic function.
DEFINE-COMPILER-MACRO,Macro,N,Define a compiler-macro for NAME.
DEFINE-CONDITION,Macro,N,DEFINE-CONDITION Name (Parent-Type*) (Slot-Spec*) Option* Define NAME as a condition type. This new type inherits slots and its report function from the specified PARENT-TYPEs. A slot spec is a list o
DEFINE-METHOD-COMBINATION,Macro,N,Macro: defines a method combination.
DEFINE-MODIFY-MACRO,Macro,N,Creates a new read-modify-write macro like PUSH or INCF.
DEFINE-SETF-EXPANDER,Macro,N,"Syntax like DEFMACRO, but creates a setf expander function. The body of the definition must be a form that returns five appropriate values."
DEFINE-SYMBOL-MACRO,Macro,N,Macro: defines a symbol macro.
DEFMACRO,Macro,J,Macro: defines a macro.
DEFMETHOD,Macro,N,Macro: defines a method on a generic function.
DEFPACKAGE,Macro,N,Defines a new package called PACKAGE. Each of OPTIONS should be one of the following: (USE {package-name}*) (EXPORT {symbol-name}*) (IMPORT-FROM <package-name> {symbol-name}*) (SHADOW {symbol-name}*) 
DEFPARAMETER,Macro,N,"Define a parameter that is not normally changed by the program, but that may be changed without causing an error. Declare the variable special and sets its value to VAL, overwriting any previous value"
DEFSETF,Macro,N,Associates a SETF update function or macro with the specified access function or macro. The format is complex. See the manual for details.
DEFSTRUCT,Macro,J,"DEFSTRUCT {Name | (Name Option*)} [Documentation] {Slot | (Slot [Default] {Key Value}*)} Define the structure type Name. Instances are created by MAKE-<name>, which takes &KEY arguments allowing initi"
DEFTYPE,Macro,N,"Define a new type, with syntax like DEFMACRO."
DEFUN,Macro,J,Define a function at top level.
DEFVAR,Macro,J,"Define a special variable at top level. Declare the variable SPECIAL and, optionally, initialize it. If the variable already has a value, the old value is not clobbered. The third argument is an optio"
DELETE,Kern,N,Return a sequence formed by destructively removing the specified ITEM from the given SEQUENCE.
DELETE-DUPLICATES,Kern,N,"The elements of SEQUENCE are examined, and if any two match, one is discarded. The resulting sequence, which may be formed by destroying the given sequence, is returned. The :TEST-NOT argument is depr"
DELETE-FILE,Kern,N,"Delete the specified FILE. If FILE is a stream, on Windows the stream is closed immediately. On Unix platforms the stream remains open, allowing IO to continue: the OS resources associated with the de"
